Time,Open,High,Low,Close,Volume
1777282260000,77761.2,77801.7,77761.1,77801.6,4.99104674
1777282200000,77772.4,77772.5,77755.7,77761.2,1.40320133
1777282140000,77778.1,77778.1,77772.4,77772.4,0.12261168
1777282080000,77754.8,77792.5,77754.8,77778,2.40551447
1777282020000,77718,77754.1,77718,77754.1,2.6327326
1777281960000,77726.2,77726.2,77707.1,77717.9,0.27984371
1777281900000,77704.2,77731,77701.7,77726.2,1.58291202
1777281840000,77718.5,77718.5,77704.2,77704.2,1.32326669
1777281780000,77725.2,77733,77718,77718.5,1.51833016
1777281720000,77764,77767,77724.9,77725.1,2.55753044
1777281660000,77773.9,77773.9,77750.5,77763.9,1.33941604
1777281600000,77759.5,77773.9,77742.1,77773.8,1.95332064
1777281540000,77769.6,77769.6,77759.5,77759.5,1.16495851
1777281480000,77781.9,77790.7,77769.5,77769.5,1.03016614
1777281420000,77809.1,77809.2,77763.5,77781.9,2.5601114
1777281360000,77829.9,77830,77809.1,77809.1,1.28357946
1777281300000,77849.9,77850,77822.6,77830,3.10423273
1777281240000,77817.3,77850,77813.7,77850,3.91144423
1777281180000,77825.7,77835,77807,77817.2,3.50613008
1777281120000,77811,77836.8,77810.9,77825.8,0.90339918
1777281060000,77810.9,77811,77797.7,77810.9,1.16203268
1777281000000,77800,77811,77785.6,77811,1.28031799
1777280940000,77839.7,77839.8,77800,77800.1,1.26581153
1777280880000,77850,77850,77829.4,77839.8,0.98422712
1777280820000,77821.7,77850,77809.8,77850,2.83683524
1777280760000,77820.6,77821.8,77803.6,77821.8,6.75016123
1777280700000,77818.3,77821,77814.6,77820.6,18.42365021
1777280640000,77819.9,77820,77814.5,77818.4,1.96056599
1777280580000,77802.8,77820,77802.8,77819.9,0.20788957
1777280520000,77799.9,77820,77799.9,77802.9,3.63141705
1777280460000,77795,77800,77794.9,77800,3.93456466
1777280400000,77800.6,77800.6,77780.7,77795,1.9462243
1777280340000,77801.9,77809.7,77796.3,77800.6,0.70365103
1777280280000,77803.5,77810,77789.3,77802,4.42510019
1777280220000,77794.1,77803.6,77794.1,77803.6,3.78642499
1777280160000,77755.3,77797.2,77755.2,77794.2,7.22607987
1777280100000,77757.6,77757.6,77755.2,77755.3,3.51502195
1777280040000,77782.1,77782.1,77757.5,77757.6,0.74183743
1777279980000,77777.8,77792.6,77777.7,77782.1,1.43932892
1777279920000,77768.8,77800,77768.8,77779,2.44345057
1777279860000,77737,77785.9,77735.2,77768.8,7.07862563
1777279800000,77733.7,77744.7,77714.8,77737.1,1.25288449
1777279740000,77707,77745.2,77706.9,77733.7,2.92450865
1777279680000,77696.6,77707,77680.3,77707,3.29006988
1777279620000,77716.8,77716.8,77670.3,77696.7,11.65799168
1777279560000,77682.2,77716.8,77676.4,77716.8,4.77538422
1777279500000,77621.8,77692.8,77621.8,77682.2,4.15959439
1777279440000,77631.7,77631.8,77614,77621.8,0.46038903
1777279380000,77620.5,77633,77601.9,77631.3,6.38411147
1777279320000,77621.4,77633,77612.8,77620.4,8.9813497
1777279260000,77593,77626.4,77590.8,77621.3,0.89560344
1777279200000,77635.8,77635.9,77593,77593,5.53600358
1777279140000,77660,77660,77628.1,77635.8,2.19086491
1777279080000,77635.6,77674.8,77635.2,77660.8,4.26521907
1777279020000,77613.9,77644.7,77613.8,77635.5,2.18139221
1777278960000,77632.6,77632.6,77602.8,77613.9,5.82681401
1777278900000,77611,77650.6,77610.9,77632.6,1.69081441
1777278840000,77602.4,77611.4,77587.8,77611,2.8054975
1777278780000,77583.7,77602.4,77567.8,77602.4,4.90548918
