Time,Open,High,Low,Close,Volume
1777261020000,79226.4,79233.2,79195.3,79195.3,1.01461876
1777260960000,79236.3,79254,79166.9,79226.4,7.49077661
1777260900000,79252.3,79252.4,79224.2,79236.3,2.94100039
1777260840000,79253.7,79266.2,79243.6,79252.3,2.14836476
1777260780000,79232.3,79271.8,79232.3,79256.1,5.35331084
1777260720000,79280.6,79280.6,79220.7,79232.4,2.54633474
1777260660000,79294.2,79307.9,79268.2,79280.5,2.97877177
1777260600000,79242.8,79294.2,79242.8,79294.2,6.55411405
1777260540000,79243.5,79249,79237.5,79242.8,1.12143804
1777260480000,79246.3,79246.8,79235.8,79243.4,2.04900835
1777260420000,79250.9,79260.4,79244.7,79246.3,3.42354843
1777260360000,79210.2,79251,79210.1,79250.9,1.19700376
1777260300000,79241.6,79249.9,79210.1,79210.1,1.82682005
1777260240000,79217.5,79243.1,79211.8,79241.7,2.69545261
1777260180000,79219.9,79248.3,79217.5,79217.5,3.18312423
1777260120000,79225.4,79249.7,79198.7,79220,2.99309594
1777260060000,79240.8,79271.3,79218.4,79218.4,6.41212721
1777260000000,79233.7,79243.1,79222.3,79240.9,0.65568016
1777259940000,79183.5,79253.9,79183.4,79233.8,8.05141473
1777259880000,79215,79223.2,79159.7,79180.8,5.90442637
1777259820000,79195.4,79259.1,79195.4,79214.9,4.70868877
1777259760000,79189.8,79203.4,79183.5,79195.3,1.36149837
1777259700000,79206.8,79206.9,79184.2,79189.9,0.78083355
1777259640000,79214.2,79250,79206.8,79206.9,3.54413656
1777259580000,79226.8,79226.8,79204.9,79214.1,2.00667044
1777259520000,79186.3,79230.2,79183.5,79226.9,3.5554462
1777259460000,79218,79218,79186.2,79186.2,0.44189174
1777259400000,79194.7,79218,79194.7,79218,1.23935068
1777259340000,79162.9,79194.6,79162.9,79194.6,0.9308111
1777259280000,79137.7,79179.7,79137.7,79162.9,1.67246189
1777259220000,79164.9,79165,79130.1,79137.7,0.69406206
1777259160000,79131.8,79167.1,79131.8,79165,0.81572579
1777259100000,79134.4,79138.4,79127.4,79131.9,2.49162144
1777259040000,79167.2,79167.3,79135.8,79135.8,1.12744187
1777258980000,79109,79167.3,79109,79167.2,0.70212965
1777258920000,79086,79109.1,79070,79109.1,0.64199705
1777258860000,79109.1,79116.5,79073.6,79086.1,0.62586715
